destination_id,destination,country,popular_season
1,Johnathanburgh,Cape Verde,Winter
2,Gonzalesshire,Madagascar,Summer
3,Gailmouth,Uruguay,Spring
4,Mallorystad,Rwanda,Autumn
5,Nelsonport,Cuba,Spring
6,Port Dianemouth,Svalbard & Jan Mayen Islands,Winter
7,Port Drewberg,Netherlands Antilles,Spring
8,North Kylie,Iceland,Summer
9,Port Heatherview,Jordan,Summer
10,Campbellton,Saint Barthelemy,Summer
11,New Christopherburgh,Lao People's Democratic Republic,Spring
12,Sueshire,Puerto Rico,Winter
13,New Mark,Saint Helena,Spring
14,North Garybury,Netherlands Antilles,Spring
15,Brandonview,Romania,Winter
16,Cartershire,Bulgaria,Winter
17,Petersfurt,Singapore,Winter
18,Lake Brittany,Bouvet Island (Bouvetoya),Winter
19,West Mark,Indonesia,Spring
20,New Andrew,South Georgia and the South Sandwich Islands,Autumn
21,Millerbury,San Marino,Winter
22,Matthewhaven,Afghanistan,Summer
23,Williemouth,Belize,Spring
24,Gregoryview,Indonesia,Spring
25,North Jason,French Southern Territories,Summer
26,Lake Kevin,Italy,Summer
27,Hartfort,Congo,Summer
28,Michaelshire,Greenland,Autumn
29,Aguirreside,Lesotho,Spring
30,Nicholaston,Northern Mariana Islands,Spring
31,Cliffordfurt,Colombia,Autumn
32,Sheltontown,Ireland,Winter
33,East Crystalbury,Macao,Spring
34,East Davidfort,Argentina,Autumn
35,Moranland,Bahrain,Winter
36,Jenniferport,Luxembourg,Spring
37,Debraberg,British Virgin Islands,Spring
38,South Tammiebury,Greece,Spring
39,Lake Kimberlyfurt,Somalia,Autumn
40,New Juliehaven,Martinique,Spring
41,Walterschester,Hong Kong,Spring
42,Medinatown,American Samoa,Summer
43,North Jermainechester,Togo,Autumn
44,Braunchester,Liechtenstein,Autumn
45,Nicolefort,Tuvalu,Autumn
46,North Renee,Isle of Man,Summer
47,North Rebecca,Spain,Winter
48,Port Michaelmouth,Spain,Autumn
49,North Kendra,Turks and Caicos Islands,Summer
50,West Angelafurt,Austria,Autumn
51,North Deanna,Bahrain,Winter
52,Shanefort,Montserrat,Winter
53,Josephfurt,Sierra Leone,Winter
54,West Laurenberg,Denmark,Spring
55,Christopherstad,United States of America,Summer
56,Wilkinsonmouth,Oman,Spring
57,Katrinastad,Puerto Rico,Autumn
58,Petersonport,Tajikistan,Winter
59,West Nicholasside,Ireland,Summer
60,Millerchester,Yemen,Spring
61,East Mckenzie,Jersey,Summer
62,East Charles,San Marino,Spring
63,Kellystad,Guinea-Bissau,Summer
64,South Melissa,Bolivia,Winter
65,Lake Patrickstad,Holy See (Vatican City State),Spring
66,Williamschester,Saint Barthelemy,Autumn
67,West Leonardton,Vietnam,Spring
68,East Bernardton,Malawi,Autumn
69,Shermanview,Guam,Spring
70,Durhamview,Kenya,Autumn
71,Port Dawnview,Mozambique,Spring
72,Melaniebury,Montserrat,Spring
73,Port Jeffreyhaven,Micronesia,Autumn
74,Michellehaven,Portugal,Summer
75,Valenciafurt,French Southern Territories,Spring
76,South Anthonybury,New Caledonia,Summer
77,Hallmouth,Barbados,Autumn
78,Millsborough,Slovenia,Winter
79,East Loretta,Bosnia and Herzegovina,Winter
80,Sosatown,Saint Barthelemy,Summer
81,Lake Lauraton,Australia,Autumn
82,North Erinborough,Malawi,Autumn
83,Collinsside,Myanmar,Autumn
84,North Paigeland,Panama,Summer
85,Deckerland,Italy,Autumn
86,Robertsontown,Switzerland,Spring
87,Port Antonio,Nauru,Summer
88,Lake Cherylbury,Moldova,Autumn
89,Danielmouth,France,Summer
90,Masonchester,Chad,Winter
91,Annmouth,Equatorial Guinea,Winter
92,Dudleybury,Mongolia,Winter
93,Jenniferfurt,Gabon,Spring
94,North Carolyn,Nauru,Winter
95,New Rachelland,Lao People's Democratic Republic,Autumn
96,Chamberschester,Denmark,Summer
97,Hamptonview,Guernsey,Winter
98,Lake Brittanyshire,Comoros,Winter
99,Christinestad,Azerbaijan,Spring
100,Villarrealfort,India,Summer
